sentence_left,sentence_right,difficulty
"Our main objection is to the statistics you printed which","strongly suggested that crime is on the increase.",hard
"Give it a try and write and","let me know how you get on.",hard
"I insist that you either replace the damaged goods within ten days or","send me a full refund of the purchase price.",hard
"I hope you will agree that this is a matter which","is urgently in need of your attention.",hard
"There is also a spacious and comfortable family room, which should appeal to diners with young children.","Restaurant",hard
"After a year of almost continual use, I can honestly say that I have not had a single problem with it.","Product",hard
"One of the most striking things about these portraits is the way their subjects appear to be so natural.","Exhibition",hard
"A hush descended as the conductor took the podium.","Classical concert",hard
"Visitors were treated to a variety of remarkable music and dance acts, as well as the choice of over a hundred fascinating stalls and sideshows to visit.","Festival",hard
"The beautifully shot desert scenes and the Ry Cooder soundtrack make it totally unforgettable.","Film",hard
"If we were to","reduce the price of admission, more people would visit the gallery",hard
"Imposing a small fine would","almost certainly deter people from keeping the books longer than necessary.",hard
"Should you approve these changes,","there would be great benefits for all concerned.",hard
"Only by keeping costs to a minimum","can we expect the scheme to make a profit.",hard
"Assuming we can get backing from sponsors, we should","be able to keep within our budget for the year.",hard
"Unless something can be done to reverse this trend,","we may be forced to close the London office.",hard
"hurdle","something blocking one's way",hard
"insurmountable","impossible to overcome",hard
"second nature","automatic",hard
"detrimental","damaging",hard
"permutations","variations",hard
"nerve-racking","frightening",hard
"underestimate yourself","believe oneself to be weaker than one is",hard
"on duty","working",hard
"on the off-chance","just in case",hard
"on principle","due to a belief",hard
"on a whim","impulsively",hard
"on second thoughts","after re-consideration",hard
"on purpose","intentionally",hard
"on target","as planned",hard
"on condition that","only if",hard
"on one's own","independently",hard
"on a budget","with a limited amount of money",hard
"have the world","at one's feet",hard
"be in","seventh heaven",hard
"be a feather","in one's cap",hard
"have one's head","in the clouds",hard
"rub sb up the","wrong way",hard
"steal the","show",hard
"work one's fingers","to the bone",hard
"work one's way","up to the top",hard
"block out","ignore",hard
"run through","examine",hard
"pristine/littered","coastline",hard
"temperate/extreme","climate",hard
"delicate/fragrant","blossoms",hard
"gnarled/blackened","branches",hard
"sparkling/winding","stream",hard
"heavy/slow-moving","traffic",hard
"fanciful/literal","interpretation",hard
"unjustified/strict","regulations",hard
"bring the","house down",hard
"read somebody","like a book",hard
"face the","music",hard
"let one's","hair down",hard
"off the","beaten track",hard
"on a","shoestring budget",hard
"on the","house",hard
"on the edge","of one's seat",hard
"paint the","town red",hard
"read between","the lines",hard
"murder","planning and causing the death of sb",hard
"embezzlement","stealing money from the company where you work",hard
"jaywalking","crossing the street in the wrong place",hard
"manslaughter","unintentionally causing sb's death",hard
"vandalism","destruction of public property",hard
"littering","leaving rubbish in a public place",hard
"fraud","gaining money through dishonest means",hard
"slander","publicly lying about sb",hard
"loitering with intent","remaining in a public place without an obvious reason",hard
"mugging","robbing sb in the street",hard
"libel","publishing lies about sb",hard
"kidnapping","holding sb against their will in order to gain sth",hard
"trespassing","illegally entering sb's property",hard
"foot the","bill for sth",hard
"on the fringes","of society",hard
"take the law into","one's own hands",hard
"kill two birds","with one stone",hard
"throw oneself on","the mercy of the court",hard
"bridge the","generation gap",hard
"the law of","the jungle",hard
"rob Peter","to pay Paul",hard
"make a","killing on sth",hard
"blind someone","with science",hard
"move with","the times",hard
"be somebody's","guinea pig",hard
"once in a","blue moon",hard
"turn the","clock back",hard
"come down","to earth",hard
"reinvent","the wheel",hard
"it doesn't take","a rocket scientist",hard
"stand the test","of time",hard
"beaver away","at something",hard
"keep one's mind","on the job",hard
"mean","business",hard
"get something off","the ground",hard
"be someone's","right-hand man",hard
"call","the shots",hard
"have time on","one's hands",hard
"keep one's nose","to the grindstone",hard
"be an","inside job",hard
"on the verge of","about to do/happen",hard
"on offer","available",hard
"on the basis of","due to",hard
"on the dole","receiving unemployment benefit",hard
"on the level","honest",hard
"on hold","waiting",hard
"on a roll","winning",hard
"on and on","continuously",hard
"on and off","intermittently",hard
"on demand","when needed",hard
"the late manager","the manager who has died",hard
"the manager in question","the manager we're talking about",hard
"the manager to-be","the person who is bound to become manager",hard
"the former manager","the person who was manager before the current one",hard
"the so-called manager","the person who is supposed to be the manager",hard
"the present manager","the person who is currently manager",hard
"the would-be manager","the person who would like to be manager",hard
"the stop-gap manager","the person who is holding the manager's post temporarily",hard
"be over","the hill",hard
"be given a clean","bill of health",hard
"be black","and blue",hard
"be fit as","a fiddle",hard
"have butterflies in","one's stomach",hard
"kick up","one's heels",hard
"scare the life","out of someone",hard
"be of sound","mind and body",hard
"have nerves","of steel",hard
"keep a stiff","upper lip",hard
"People wrongly assume that there","is not much visual interest in orchestral performances.",hard
"It can no longer be assumed that the purpose of art","is to delight and instruct.",hard
"Some people claim that art","is a useless luxury.",hard
"These days the fame of an artist","is more dependent on advertising than on artistic merit.",hard
"What is most striking about the picture","is the artist's use of light and shade.",hard
"In the theatre, the lighting","is as important a part of the performance as the acting.",hard
"Although I personally don't like this sculpture, it","is reckoned to be a masterpiece.",hard
"The film is exciting, moving and, in parts, very funny, which is why it","is one of my favourites.",hard
"Though not very popular, in my view the exhibition","is well worth attending.",hard
"In a live rock concert, it","is the whole performance as much as the music that makes it unforgettable.",hard
